Rank,Rating,Title,Ratings,Variance,Confidences,URL’s,Review Title,Review Text,Decision,Area Chair’s Comment
29,7.67,Composing Complex Skills by Learning Transition Policies with Proximity Reward Induction,"7,9,7",0.94,"4,4,4",https://openreview.net/forum?id=rygrBhC5tQ,,,,
30,7.67,Adaptive Input Representations for Neural Language Modeling,"7,8,8",0.47,"4,4,4",https://openreview.net/forum?id=ByxZX20qFQ,,,,
31,7.64,Kernel Change-point Detection with Auxiliary Deep Generative Models,"8,8,7",0.47,"3,4,4",https://openreview.net/forum?id=r1GbfhRqF7,,,,
32,7.64,"Towards Robust, Locally Linear Deep Networks","8,8,7",0.47,"4,3,4",https://openreview.net/forum?id=SylCrnCcFX,,,,
33,7.62,SNIP: SINGLE-SHOT NETWORK PRUNING BASED ON CONNECTION SENSITIVITY,"7,7,9",0.94,"5,4,4",https://openreview.net/forum?id=B1VZqjAcYX,,,,
34,7.62,Dimensionality Reduction for Representing the Knowledge of Probabilistic Models,"6,7,9",1.25,"1,4,3",https://openreview.net/forum?id=SygD-hCcF7,,,,
35,7.6,A Variational Inequality Perspective on Generative Adversarial Networks,"8,8,7",0.47,"3,3,4",https://openreview.net/forum?id=r1laEnA5Ym,,,,
36,7.59,Exploration by random network distillation,"4,9,10,7",2.29,"4,5,4,4",https://openreview.net/forum?id=H1lJJnR5Ym,,,,
37,7.56,Robustness May Be at Odds with Accuracy,"8,7,8",0.47,"3,4,2",https://openreview.net/forum?id=SyxAb30cY7,,,,
38,7.55,Learning Robust Representations by Projecting Superficial Statistics Out,"7,7,9",0.94,"4,4,3",https://openreview.net/forum?id=rJEjjoR9K7,,,,
39,7.54,Critical Learning Periods in Deep Networks,"9,8,6",1.25,"4,4,5",https://openreview.net/forum?id=BkeStsCcKQ,,,,
40,7.5,Identifying and Controlling Important Neurons in Neural Machine Translation,"7,10,6",1.7,"3,3,4",https://openreview.net/forum?id=H1z-PsR5KX,,,,
41,7.5,Large-Scale Study of Curiosity-Driven Learning,"6,9,7",1.25,"4,5,3",https://openreview.net/forum?id=rJNwDjAqYX,,,,
42,7.46,Biologically-Plausible Learning Algorithms Can Scale to Large Datasets,"9,9,4",2.36,"5,4,4",https://openreview.net/forum?id=SygvZ209F7,,,,
43,7.46,"The Neuro-Symbolic Concept Learner: Interpreting Scenes, Words, and Sentences From Natural Supervision","7,6,9",1.25,"4,4,5",https://openreview.net/forum?id=rJgMlhRctm,,,,
44,7.45,Evaluating Robustness of Neural Networks with Mixed Integer Programming,"7,8,7",0.47,"5,5,1",https://openreview.net/forum?id=HyGIdiRqtm,,,,
45,7.44,Recurrent Experience Replay in Distributed Reinforcement Learning,"7,7,8",0.47,"3,2,4",https://openreview.net/forum?id=r1lyTjAqYX,,,,
46,7.43,On the Minimal Supervision for Training Any Binary Classifier from Only Unlabeled Data,"7,8,8,7",0.5,"4,3,3,4",https://openreview.net/forum?id=B1xWcj0qYm,,,,
47,7.4,Small nonlinearities in activation functions create bad local minima in neural networks,"7,7,8",0.47,"3,3,4",https://openreview.net/forum?id=rke_YiRct7,,,,
48,7.36,Diversity is All You Need: Learning Skills without a Reward Function,"8,7,7",0.47,"4,3,4",https://openreview.net/forum?id=SJx63jRqFm,,,,
49,7.36,Learning to Remember More with Less Memorization,"7,8,7",0.47,"3,4,4",https://openreview.net/forum?id=r1xlvi0qYm,,,,
50,7.36,Learning Latent Superstructures in Variational Autoencoders for Deep Multidimensional Clustering,"8,7,7",0.47,"4,4,3",https://openreview.net/forum?id=SJgNwi09Km,,,,
51,7.36,Visualizing and Understanding Generative Adversarial Networks,"7,7,8",0.47,"3,4,4",https://openreview.net/forum?id=Hyg_X2C5FX,,,,
52,7.33,How Powerful are Graph Neural Networks?,"7,7,8",0.47,"5,5,5",https://openreview.net/forum?id=ryGs6iA5Km,,,,
53,7.33,Learning Self-Imitating Diverse Policies,"8,5,8",1.41,"3,2,4",https://openreview.net/forum?id=HyxzRsR9Y7,,,,
54,7.33,Time-Agnostic Prediction: Predicting Predictable Video Frames,"7,8,7",0.47,"3,4,5",https://openreview.net/forum?id=SyzVb3CcFX,,,,
55,7.33,ProMP: Proximal Meta-Policy Search,"6,7,9",1.25,"3,3,3",https://openreview.net/forum?id=SkxXCi0qFX,,,,
56,7.33,"Improving Differentiable Neural Computers Through Memory Masking, De-allocation, and Link Distribution Sharpness Control","8,7,7",0.47,"5,5,5",https://openreview.net/forum?id=HyGEM3C9KQ,,,,
57,7.33,Variance Reduction for Reinforcement Learning in Input-Driven Environments,"7,9,6",1.25,"4,4,4",https://openreview.net/forum?id=Hyg1G2AqtQ,,,,
58,7.33,Dynamic Sparse Graph for Efficient Deep Learning,"8,7,7",0.47,"3,2,4",https://openreview.net/forum?id=H1goBoR9F7,,,,
59,7.33,Label super-resolution networks,"7,6,9",1.25,"4,4,4",https://openreview.net/forum?id=rkxwShA9Ym,,,,
60,7.33,LanczosNet: Multi-Scale Deep Graph Convolutional Networks,"7,7,8",0.47,"3,5,4",https://openreview.net/forum?id=BkedznAqKQ,,,,
61,7.33,Learning to Navigate the Web,"7,8,7",0.47,"3,3,3",https://openreview.net/forum?id=BJemQ209FQ,,,,
62,7.31,Towards Metamerism via Foveated Style Transfer,"7,8,7",0.47,"4,4,5",https://openreview.net/forum?id=BJzbG20cFQ,,,,
63,7.31,Deep Frank-Wolfe For Neural Network Optimization,"7,7,8",0.47,"5,4,4",https://openreview.net/forum?id=SyVU6s05K7,,,,
64,7.31,Learning Grid-like Units with Vector Representation of Self-Position and Matrix Representation of Self-Motion,"8,7,7",0.47,"4,5,4",https://openreview.net/forum?id=Syx0Mh05YQ,,,,
65,7.29,Quaternion Recurrent Neural Networks,"8,7,7",0.47,"4,5,5",https://openreview.net/forum?id=ByMHvs0cFQ,,,,
66,7.27,Transferring Knowledge across Learning Processes,"6,8,8",0.94,"4,4,3",https://openreview.net/forum?id=HygBZnRctX,,,,
67,7.27,Understanding and Improving Interpolation in Autoencoders via an Adversarial Regularizer,"5,8,9",1.7,"4,3,4",https://openreview.net/forum?id=S1fQSiCcYm,,,,
68,7.25,Efficient Training on Very Large Corpora via Gramian Estimation,"7,8,7",0.47,"4,2,2",https://openreview.net/forum?id=Hke20iA9Y7,,,,
69,7.25,Diffusion Scattering Transforms on Graphs,"6,9,6",1.41,"4,5,3",https://openreview.net/forum?id=BygqBiRcFQ,,,,
70,7.25,Approximability of Discriminators Implies Diversity in GANs,"8,7,7",0.47,"2,3,3",https://openreview.net/forum?id=rJfW5oA5KQ,,,,
71,7.23,Gradient descent aligns the layers of deep linear networks,"7,9,6",1.25,"4,4,5",https://openreview.net/forum?id=HJflg30qKX,,,,
72,7.22,Detecting Egregious Responses in Neural Sequence-to-sequence Models,"7,7,8",0.47,"4,3,2",https://openreview.net/forum?id=HyNA5iRcFQ,,,,
73,7.2,Learning Localized Generative Models for 3D Point Clouds via Graph Convolution,"9,6,7",1.25,"3,4,3",https://openreview.net/forum?id=SJeXSo09FQ,,,,
74,7.2,Episodic Curiosity through Reachability,"7,8,6,8",0.83,"4,4,4,3",https://openreview.net/forum?id=SkeK3s0qKQ,,,,
75,7.2,On Computation and Generalization of Generative Adversarial Networks under Spectrum Control,"8,6,7",0.82,"4,2,4",https://openreview.net/forum?id=rJNH6sAqY7,,,,
76,7.2,Deep Self-Organization: Interpretable Discrete Representation Learning on Time Series,"9,6,6",1.41,"4,2,4",https://openreview.net/forum?id=rygjcsR9Y7,,,,
77,7.2,Prior Convictions: Black-box Adversarial Attacks with Bandits and Priors,"7,8,7",0.47,"5,2,3",https://openreview.net/forum?id=BkMiWhR5K7,,,,
78,7.2,Meta-Learning Probabilistic Inference for Prediction,"7,6,8",0.82,"4,2,4",https://openreview.net/forum?id=HkxStoC5F7,,,,
79,7.18,Probabilistic Neural-Symbolic Models for Interpretable Visual Question Answering,"8,6,7",0.82,"5,3,3",https://openreview.net/forum?id=ryxhB3CcK7,,,,
80,7.18,ClariNet: Parallel Wave Generation in End-to-End Text-to-Speech,"9,5,7",1.63,"4,3,4",https://openreview.net/forum?id=HklY120cYm,,,,
81,7.18,Diagnosing and Enhancing VAE Models,"9,5,7",1.63,"4,3,4",https://openreview.net/forum?id=B1e0X3C9tQ,,,,
82,7.17,ADVERSARIAL DOMAIN ADAPTATION FOR STABLE BRAIN-MACHINE INTERFACES,"9,5,7",1.63,"4,3,5",https://openreview.net/forum?id=Hyx6Bi0qYm,,,,
83,7.17,Knowledge Flow: Improve Upon Your Teachers,"6,8,7",0.82,"3,5,4",https://openreview.net/forum?id=BJeOioA9Y7,,,,
84,7.17,Variational Autoencoders with Jointly Optimized Latent Dependency Structure,"7,6,8",0.82,"4,3,5",https://openreview.net/forum?id=SJgsCjCqt7,,,,
85,7.15,Deep Learning 3D Shapes Using Alt-az Anisotropic 2-Sphere Convolution,"6,8,7",0.82,"3,5,5",https://openreview.net/forum?id=rkeSiiA5Fm,,,,
86,7.14,Stable Opponent Shaping in Differentiable Games,"8,6,6",0.94,"4,2,1",https://openreview.net/forum?id=SyGjjsC5tQ,,,,
87,7.12,Learning concise representations for regression by evolving networks of trees,"7,6,8",0.82,"1,3,4",https://openreview.net/forum?id=Hke-JhA9Y7,,,,
88,7.1,A Data-Driven and Distributed Approach to Sparse Signal Representation and Recovery,"8,7,6",0.82,"4,3,3",https://openreview.net/forum?id=B1xVTjCqKQ,,,,
89,7.1,Stochastic Optimization of Sorting Networks via Continuous Relaxations,"8,7,6",0.82,"4,3,3",https://openreview.net/forum?id=H1eSS3CcKX,,,,
90,7.1,DARTS: Differentiable Architecture Search,"6,7,8",0.82,"2,5,3",https://openreview.net/forum?id=S1eYHoC5FX,,,,
91,7.1,"Don't Settle for Average, Go for the Max: Fuzzy Sets and Max-Pooled Word Vectors","8,8,5",1.41,"3,4,3",https://openreview.net/forum?id=SkxXg2C5FX,,,,
92,7.1,signSGD via Zeroth-Order Oracle,"8,7,6",0.82,"3,5,2",https://openreview.net/forum?id=BJe-DsC5Fm,,,,
93,7.09,Learning Neural PDE Solvers with Convergence Guarantees,"7,8,6",0.82,"4,4,3",https://openreview.net/forum?id=rklaWn0qK7,,,,
94,7.09,Bounce and Learn: Modeling Scene Dynamics with Real-World Bounces,"6,7,8",0.82,"3,4,4",https://openreview.net/forum?id=BJxssoA5KX,,,,
95,7.09,An analytic theory of generalization dynamics and transfer learning in deep linear networks,"8,7,6",0.82,"4,4,3",https://openreview.net/forum?id=ryfMLoCqtQ,,,,
96,7.09,Learning to Screen for Fast Softmax Inference on Large Vocabulary Neural Networks,"7,6,8",0.82,"4,3,4",https://openreview.net/forum?id=ByeMB3Act7,,,,
97,7.08,Unsupervised Domain Adaptation for Distance Metric Learning,"8,5,8",1.41,"5,4,4",https://openreview.net/forum?id=BklhAj09K7,,,,
98,7.08,K For The Price Of 1: Parameter Efficient Multi-task And Transfer Learning,"7,6,8",0.82,"5,3,4",https://openreview.net/forum?id=BJxvEh0cFQ,,,,
99,7.08,LeMoNADe: Learned Motif and Neuronal Assembly Detection in calcium imaging videos,"8,5,8",1.41,"4,4,5",https://openreview.net/forum?id=SkloDjAqYm,,,,
100,7.08,Self-Monitoring Navigation Agent via Auxiliary Progress Estimation,"8,6,7",0.82,"5,4,4",https://openreview.net/forum?id=r1GAsjC5Fm,,,,
101,7.07,Instance-aware Image-to-Image Translation,"6,8,7",0.82,"4,5,5",https://openreview.net/forum?id=ryxwJhC9YX,,,,
102,7,The Laplacian in RL: Learning Representations with Efficient Approximations,"7,7,7",0,"3,3,4",https://openreview.net/forum?id=HJlNpoA5YQ,,,,
103,7,Generative Code Modeling with Graphs,"7,7,7",0,"4,4,5",https://openreview.net/forum?id=Bke4KsA5FX,,,,
104,7,"Woulda, Coulda, Shoulda: Counterfactually-Guided Policy Search","7,7,7",0,"2,3,3",https://openreview.net/forum?id=BJG0voC9YQ,,,,
105,7,Scalable Reversible Generative Models with Free-form Continuous Dynamics,"7,7,7",0,"4,4,3",https://openreview.net/forum?id=rJxgknCcK7,,,,
106,7,Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching,"7,7,7",0,"4,4,4",https://openreview.net/forum?id=Bylmkh05KX,,,,
107,7,Deterministic Variational Inference for Robust Bayesian Neural Networks,"7,7,7",0,"3,3,5",https://openreview.net/forum?id=B1l08oAct7,,,,
108,7,Deep Graph Infomax,"9,5,7",1.63,"4,4,3",https://openreview.net/forum?id=rklz9iAcKQ,,,,
109,7,Deep Online Learning Via Meta-Learning: Continual Adaptation for Model-Based RL,"7,7,7",0,"3,3,3",https://openreview.net/forum?id=HyxAfnA5tm,,,,
110,7,Generative Question Answering: Learning to Answer the Whole Question,"7,6,8",0.82,"4,4,4",https://openreview.net/forum?id=Bkx0RjA9tX,,,,
111,7,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,"7,7,7",0,"3,4,4",https://openreview.net/forum?id=HkgEQnRqYQ,,,,
112,7,Learning Recurrent Binary/Ternary Weights,"6,8,7",0.82,"3,3,4",https://openreview.net/forum?id=HkNGYjR9FX,,,,
113,7,The role of over-parametrization in generalization of neural networks,"7,7,7",0,"3,5,3",https://openreview.net/forum?id=BygfghAcYX,,,,
114,7,Solving the Rubik's Cube with Approximate Policy Iteration,"7,7,7",0,"4,4,3",https://openreview.net/forum?id=Hyfn2jCcKm,,,,
115,7,Modeling Uncertainty with Hedged Instance Embeddings,"7,7,7",0,"3,3,5",https://openreview.net/forum?id=r1xQQhAqKX,,,,
116,7,Learning a Meta-Solver for Syntax-Guided Program Synthesis,"7,7,7",0,"4,5,2",https://openreview.net/forum?id=Syl8Sn0cK7,,,,
117,7,Hindsight policy gradients,"7,7,7",0,"4,4,4",https://openreview.net/forum?id=Bkg2viA5FQ,,,,
118,7,"Deep, Skinny Neural Networks are not Universal Approximators","6,8,7",0.82,"4,4,4",https://openreview.net/forum?id=ryGgSsAcFQ,,,,
119,7,G-SGD: Optimizing ReLU Neural Networks in its Positively Scale-Invariant Space,"7,7,7",0,"2,3,4",https://openreview.net/forum?id=SyxfEn09Y7,,,,
120,7,Neural network gradient-based learning of black-box function interfaces,"7,7,7",0,"3,3,3",https://openreview.net/forum?id=r1e13s05YX,,,,
121,7,Learning a SAT Solver from Single-Bit Supervision,"7,7,7",0,"3,4,3",https://openreview.net/forum?id=HJMC_iA5tm,,,,
122,7,Relaxed Quantization for Discretized Neural Networks,"7,7,7",0,"4,3,4",https://openreview.net/forum?id=HkxjYoCqKX,,,,
123,7,Function Space Particle Optimization for Bayesian Neural Networks,"7,7,7",0,"4,3,3",https://openreview.net/forum?id=BkgtDsCcKQ,,,,
124,7,EMI: Exploration with Mutual Information Maximizing State and Action Embeddings,"7,7,7",0,"4,4,3",https://openreview.net/forum?id=Hylyui09tm,,,,
125,7,What do you learn from context? Probing for sentence structure in contextualized word representations,"7,7,7",0,"4,4,4",https://openreview.net/forum?id=SJzSgnRcKX,,,,
126,7,ARM: Augment-REINFORCE-Merge Gradient for Stochastic Binary Networks,"8,6,7",0.82,"4,4,3",https://openreview.net/forum?id=S1lg0jAcYm,,,,
127,7,Learning Mixed-Curvature Representations in Product Spaces,"7,7,7",0,"2,5,3",https://openreview.net/forum?id=HJxeWnCcF7,,,,
128,7,Eidetic 3D LSTM: A Model for Video Prediction and Beyond,"7,7,7",0,"5,4,4",https://openreview.net/forum?id=B1lKS2AqtX,,,,
129,7,The Comparative Power of ReLU Networks and Polynomial Kernels in the Presence of Sparse Latent Structure,"7,7,7",0,"3,3,3",https://openreview.net/forum?id=rJgTTjA9tX,,,,
130,7,Differentiable Learning-to-Normalize via Switchable Normalization,"7,7,7",0,"3,4,5",https://openreview.net/forum?id=ryggIs0cYQ,,,,
131,7,Bias-Reduced Uncertainty Estimation for Deep Neural Classifiers,"7,7,7",0,"4,3,2",https://openreview.net/forum?id=SJfb5jCqKm,,,,
132,7,Auxiliary Variational MCMC,"7,7,7",0,"5,4,4",https://openreview.net/forum?id=r1NJqsRctX,,,,
133,7,Execution-Guided Neural Program Synthesis,"7,7,7",0,"2,4,5",https://openreview.net/forum?id=H1gfOiAqYm,,,,
134,7,Riemannian Adaptive Optimization Methods,"7,7,7",0,"3,5,4",https://openreview.net/forum?id=r1eiqi09K7,,,,
135,7,How Important is a Neuron,"7,7,7",0,"4,2,5",https://openreview.net/forum?id=SylKoo0cKm,,,,
136,7,textTOvec: DEEP CONTEXTUALIZED NEURAL AUTOREGRESSIVE TOPIC MODELS OF LANGUAGE WITH DISTRIBUTED COMPOSITIONAL PRIOR,"7,8,6",0.82,"4,4,4",https://openreview.net/forum?id=rkgoyn09KQ,,,,
137,7,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,"7,5,8",1.25,"1,2,4",https://openreview.net/forum?id=rJ4km2R5t7,,,,
138,7,Energy-Constrained Compression for Deep Neural Networks via Weighted Sparse Projection and Layer Input Masking,"7,7,7",0,"4,3,4",https://openreview.net/forum?id=BylBr3C9K7,,,,
139,7,AdaShift: Decorrelation and Convergence of Adaptive Learning Rate Methods,"6,6,9",1.41,"4,4,4",https://openreview.net/forum?id=HkgTkhRcKQ,,,,
140,7,RotDCF: Decomposition of Convolutional Filters for Rotation-Equivariant Deep Networks,"7,7,7",0,"2,4,3",https://openreview.net/forum?id=H1gTEj09FX,,,,
141,7,Learning protein sequence embeddings using information from structure,"7,7,7",0,"4,3,4",https://openreview.net/forum?id=SygLehCqtm,,,,
142,7,Feature Intertwiners,"5,9,7",1.63,"4,4,3",https://openreview.net/forum?id=SyxZJn05YX,,,,
143,7,GANSynth: Adversarial Neural Audio Synthesis,"6,7,8",0.82,"3,4,3",https://openreview.net/forum?id=H1xQVn09FX,,,,
144,7,NADPEx: An on-policy temporally consistent exploration method for deep reinforcement learning,"8,6,7",0.82,"3,3,3",https://openreview.net/forum?id=rkxciiC9tm,,,,
145,7,Learning Implicitly Recurrent CNNs Through Parameter Sharing,"8,7,6",0.82,"4,3,4",https://openreview.net/forum?id=rJgYxn09Fm,,,,
146,7,Learning to Schedule Communication in Multi-agent Reinforcement Learning,"6,8,6",0.94,"3,5,2",https://openreview.net/forum?id=SJxu5iR9KQ,,,,
147,7,A Convergence Analysis of Gradient Descent for Deep Linear Neural Networks,"7,7,7",0,"4,5,4",https://openreview.net/forum?id=SkMQg3C5K7,,,,
148,7,On the Universal Approximability and Complexity Bounds of Quantized ReLU Neural Networks,"7,6,8",0.82,"3,3,3",https://openreview.net/forum?id=SJe9rh0cFX,,,,
149,7,CoT: Cooperative Training for Generative Modeling of Discrete Data,"7,7,7",0,"2,2,4",https://openreview.net/forum?id=SkxxIs0qY7,,,,
150,6.93,Learning to Learn without Forgetting By Maximizing Transfer and Minimizing Interference,"6,8,7",0.82,"5,4,5",https://openreview.net/forum?id=B1gTShAct7,,,,
151,6.93,Local SGD Converges Fast and Communicates Little,"8,5,8",1.41,"5,5,4",https://openreview.net/forum?id=S1g2JnRcFX,,,,
152,6.92,Subgradient Descent Learns Orthogonal Dictionaries,"7,7,7,7,6",0.4,"2,3,4,3,1",https://openreview.net/forum?id=HklSf3CqKm,,,,
153,6.92,On the loss landscape of a class of deep neural networks with no bad local valleys,"7,8,6",0.82,"4,4,5",https://openreview.net/forum?id=HJgXsjA5tQ,,,,
154,6.92,Wizard of Wikipedia: Knowledge-Powered Conversational Agents,"7,6,8",0.82,"4,5,4",https://openreview.net/forum?id=r1l73iRqKm,,,,
155,6.92,Learning To Solve Circuit-SAT: An Unsupervised Differentiable Approach,"6,8,7",0.82,"5,4,3",https://openreview.net/forum?id=BJxgz2R9t7,,,,
156,6.91,Probabilistic Recursive Reasoning for Multi-Agent Reinforcement Learning,"8,6,7",0.82,"3,4,4",https://openreview.net/forum?id=rkl6As0cF7,,,,
157,6.91,Quasi-hyperbolic momentum and Adam for deep learning,"7,6,8",0.82,"4,4,3",https://openreview.net/forum?id=S1fUpoR5FQ,,,,
158,6.89,Learning sparse relational transition models,"6,7,8",0.82,"4,2,3",https://openreview.net/forum?id=SJxsV2R5FQ,,,,
159,6.89,Learning to Design RNA,"6,6,8",0.94,"4,1,4",https://openreview.net/forum?id=ByfyHh05tQ,,,,
160,6.89,There Are Many Consistent Explanations of Unlabeled Data: Why You Should Average,"6,8,6",0.94,"4,4,1",https://openreview.net/forum?id=rkgKBhA5Y7,,,,
161,6.86,A Mean Field Theory of Batch Normalization,"7,6,7",0.47,"3,1,3",https://openreview.net/forum?id=SyMDXnCcF7,,,,
162,6.86,Invariant and Equivariant Graph Networks,"8,4,9",2.16,"5,5,4",https://openreview.net/forum?id=Syx72jC9tm,,,,
163,6.86,Unsupervised Learning via Meta-Learning,"7,6,8,6",0.83,"4,3,4,3",https://openreview.net/forum?id=r1My6sR9tX,,,,
164,6.85,Detecting Memorization in ReLU Networks,"5,6,9",1.7,"4,4,5",https://openreview.net/forum?id=HJeB0sC9Fm,,,,
165,6.83,Practical lossless compression with latent variables using bits back coding,"6,6,8",0.94,"4,3,5",https://openreview.net/forum?id=ryE98iR5tm,,,,
166,6.83,Statistical Verification of Neural Networks,"6,7,8",0.82,"5,4,3",https://openreview.net/forum?id=S1xcx3C5FX,,,,
167,6.83,Improving MMD-GAN Training with Repulsive Loss Function,"6,7,7",0.47,"2,5,5",https://openreview.net/forum?id=HygjqjR9Km,,,,
168,6.82,Metropolis-Hastings view on variational inference and adversarial training,"5,6,9",1.7,"3,4,4",https://openreview.net/forum?id=Hkg313AcFX,,,,
169,6.82,Looking for ELMo's friends: Sentence-Level Pretraining Beyond Language Modeling,"5,7,8",1.25,"3,4,4",https://openreview.net/forum?id=Bkl87h09FX,,,,
170,6.82,Padam: Closing the Generalization Gap of Adaptive Gradient Methods in Training Deep Neural Networks,"6,6,9",1.41,"4,4,3",https://openreview.net/forum?id=BJll6o09tm,,,,
171,6.8,Bayesian Prediction of Future Street Scenes using Synthetic Likelihoods,"6,8,6",0.94,"4,4,2",https://openreview.net/forum?id=rkgK3oC5Fm,,,,
172,6.8,Differentiable Perturb-and-Parse: Semi-Supervised Parsing with a Structured Variational Autoencoder,"8,7,5",1.25,"4,3,3",https://openreview.net/forum?id=BJlgNh0qKQ,,,,
173,6.8,Universal Transformers,"6,6,8",0.94,"4,2,4",https://openreview.net/forum?id=HyzdRiR9Y7,,,,
174,6.79,Deterministic PAC-Bayesian generalization bounds for deep networks via generalizing noise-resilience,"8,7,7,5",1.09,"5,2,3,4",https://openreview.net/forum?id=Hygn2o0qKX,,,,
175,6.78,Minimal Random Code Learning: Getting Bits Back from Compressed Model Parameters,"7,6,7",0.47,"4,2,3",https://openreview.net/forum?id=r1f0YiCctm,,,,
176,6.78,Discriminator-Actor-Critic: Addressing Sample Inefficiency and Reward Bias in Adversarial Imitation Learning,"8,6,7",0.82,"2,4,3",https://openreview.net/forum?id=Hk4fpoA5Km,,,,
177,6.75,CEM-RL: Combining evolutionary and gradient-based methods for policy search,"6,7,7",0.47,"3,4,5",https://openreview.net/forum?id=BkeU5j0ctQ,,,,
