Rank,Rating,Title,Ratings,Variance,Confidences,URL’s,Review Title,Review Text,Decision,Area Chair’s Comment
739,5.31,Gaussian-gated LSTM: Improved convergence by reducing state updates,"5,5,6",0.47,"5,4,4",https://openreview.net/forum?id=r1eO_oCqtQ,,,,
740,5.31,Local Binary Pattern Networks for Character Recognition,"5,6,5",0.47,"5,4,4",https://openreview.net/forum?id=rJxcHnRqYQ,,,,
741,5.31,Local Image-to-Image Translation via Pixel-wise Highway Adaptive Instance Normalization,"6,5,5",0.47,"4,4,5",https://openreview.net/forum?id=HJgTHnActQ,,,,
742,5.31,EnGAN: Latent Space MCMC and Maximum Entropy Generators for Energy-based Models,"6,5,5",0.47,"4,5,4",https://openreview.net/forum?id=HJlmhs05tm,,,,
743,5.31,Exploring Curvature Noise in Large-Batch Stochastic Optimization,"5,6,5",0.47,"4,4,5",https://openreview.net/forum?id=S1eB3sRqtm,,,,
744,5.3,Composing Entropic Policies using Divergence Correction,"4,7,5",1.25,"3,3,4",https://openreview.net/forum?id=SJ4Z72Rctm,,,,
745,5.3,Training generative latent models by variational f-divergence minimization,"6,5,5",0.47,"3,4,3",https://openreview.net/forum?id=r1lFIiR9tQ,,,,
746,5.3,An Active Learning Framework for Efficient Robust Policy Search,"5,6,5",0.47,"3,3,4",https://openreview.net/forum?id=rkxhX209FX,,,,
747,5.3,Learning to Separate Domains in Generalized Zero-Shot and Open Set Learning: a probabilistic perspective,"5,5,6",0.47,"4,3,3",https://openreview.net/forum?id=H1GaLiAcY7,,,,
748,5.3,Learning State Representations in Complex Systems with Multimodal Data,"5,6,5",0.47,"3,3,4",https://openreview.net/forum?id=BkMXkhA5Fm,,,,
749,5.3,The Universal Approximation Power of Finite-Width Deep ReLU Networks,"5,5,6",0.47,"3,4,3",https://openreview.net/forum?id=r1VPNiA5Fm,,,,
750,5.3,Meta Learning with Fast/Slow Learners,"5,6,5",0.47,"3,3,4",https://openreview.net/forum?id=Hygvln09K7,,,,
751,5.29,BLISS in Non-Isometric Embedding Spaces,"4,6,6",0.94,"5,5,4",https://openreview.net/forum?id=Bkg93jC5YX,,,,
752,5.29,Learning Global Additive Explanations for Neural Nets Using Model Distillation,"6,4,6",0.94,"5,5,4",https://openreview.net/forum?id=SJl8J30qFX,,,,
753,5.27,Towards Decomposed Linguistic Representation with Holographic Reduced Representation,"5,5,6",0.47,"4,4,3",https://openreview.net/forum?id=rkl3-hA5Y7,,,,
754,5.27,Escaping Flat Areas via Function-Preserving Structural Network Modifications,"6,4,6",0.94,"3,4,4",https://openreview.net/forum?id=H1eadi0cFQ,,,,
755,5.27,Bayesian Deep Learning via Stochastic Gradient MCMC with a Stochastic Approximation Adaptation,"5,4,6",0.82,"4,2,5",https://openreview.net/forum?id=S1grRoR9tQ,,,,
756,5.27,Optimal Attacks against Multiple Classifiers,"4,6,6",0.94,"4,4,3",https://openreview.net/forum?id=rkl4M3R5K7,,,,
757,5.27,Multi-way Encoding for Robustness to Adversarial Attacks,"4,6,6,6",0.87,"4,3,2,2",https://openreview.net/forum?id=B1xOYoA5tQ,,,,
758,5.27,Hierarchically Clustered Representation Learning,"5,5,6",0.47,"4,4,3",https://openreview.net/forum?id=H1ERcs09KQ,,,,
759,5.27,Hint-based Training for Non-Autoregressive Translation,"6,6,4",0.94,"4,3,4",https://openreview.net/forum?id=r1gGpjActQ,,,,
760,5.27,Knowledge Distillation from Few Samples,"4,6,6",0.94,"4,4,3",https://openreview.net/forum?id=HkgDTiCctQ,,,,
761,5.27,"Classification from Positive, Unlabeled and Biased Negative Data","5,6,5",0.47,"5,3,3",https://openreview.net/forum?id=H1ldNoC9tX,,,,
762,5.27,Learning Partially Observed PDE Dynamics with Neural Networks,"6,5,5",0.47,"3,5,3",https://openreview.net/forum?id=HyefgnCqFm,,,,
763,5.27,Graph Neural Networks with Generated Parameters for Relation Extraction,"4,6,6",0.94,"4,3,4",https://openreview.net/forum?id=SkgzYiRqtX,,,,
764,5.27,Graph Classification with Geometric Scattering,"5,6,5",0.47,"4,3,4",https://openreview.net/forum?id=SygK6sA5tX,,,,
765,5.27,Convergent Reinforcement Learning with Function Approximation: A Bilevel Optimization Perspective,"5,6,5,5",0.43,"3,4,4,4",https://openreview.net/forum?id=ryfcCo0ctQ,,,,
766,5.27,Reducing Overconfident Errors outside the Known Distribution,"6,4,6",0.94,"4,4,3",https://openreview.net/forum?id=S1giro05t7,,,,
767,5.27,Curiosity-Driven Experience Prioritization via Density Estimation,"6,4,6",0.94,"3,4,4",https://openreview.net/forum?id=SklXvs0qt7,,,,
768,5.26,Sample Efficient Imitation Learning for Continuous Control,"5,6,5,5",0.43,"4,5,5,5",https://openreview.net/forum?id=BkN5UoAqF7,,,,
769,5.25,Selective Convolutional Units: Improving CNNs via Channel Selectivity,"6,5,5",0.47,"2,3,3",https://openreview.net/forum?id=SJlt6oA9Fm,,,,
770,5.25,Learning Internal Dense But External Sparse Structures of Deep Neural Network,"5,5,6",0.47,"3,3,2",https://openreview.net/forum?id=BkNUFjR5KQ,,,,
771,5.25,NETWORK COMPRESSION USING CORRELATION ANALYSIS OF LAYER RESPONSES,"5,6,5",0.47,"5,3,4",https://openreview.net/forum?id=rkl42iA5t7,,,,
772,5.25,Negotiating Team Formation Using Deep Reinforcement Learning,"5,6,5",0.47,"3,2,3",https://openreview.net/forum?id=HJG0ojCcFm,,,,
773,5.25,Neural Model-Based Reinforcement Learning for Recommendation,"5,6,5",0.47,"4,3,5",https://openreview.net/forum?id=SkguE30ct7,,,,
774,5.25,Policy Optimization via Stochastic Recursive Gradient Algorithm,"5,6,5",0.47,"3,2,3",https://openreview.net/forum?id=rJl3S2A9t7,,,,
775,5.25,Clean-Label Backdoor Attacks,"6,7,4",1.25,"2,2,4",https://openreview.net/forum?id=HJg6e2CcK7,,,,
776,5.25,P^2IR: Universal Deep Node Representation via Partial Permutation Invariant Set Functions,"4,7,5,5",1.09,"4,4,3,5",https://openreview.net/forum?id=BygRNn0qYX,,,,
777,5.25,On the Ineffectiveness of Variance Reduced Optimization for Deep Learning,"5,6,5",0.47,"5,3,4",https://openreview.net/forum?id=B1MIBs05F7,,,,
778,5.25,Optimal margin Distribution Network,"5,6,5",0.47,"5,3,4",https://openreview.net/forum?id=HygcvsAcFX,,,,
779,5.25,Diverse Machine Translation with a Single Multinomial Latent Variable,"3,6,5,7",1.48,"4,4,4,4",https://openreview.net/forum?id=BJgnmhA5KQ,,,,
780,5.25,Connecting the Dots Between MLE and RL for Sequence Generation,"5,6,5",0.47,"5,3,4",https://openreview.net/forum?id=r1MxciCcKm,,,,
781,5.23,LEARNING GENERATIVE MODELS FOR DEMIXING OF STRUCTURED SIGNALS FROM THEIR SUPERPOSITION USING GANS,"4,5,7",1.25,"5,4,4",https://openreview.net/forum?id=rkeqCoA5tX,,,,
782,5.23,Unseen Action Recognition with Unpaired Adversarial Multimodal Learning,"7,5,4",1.25,"4,4,5",https://openreview.net/forum?id=S14g5s09tm,,,,
783,5.23,COCO-GAN: Conditional Coordinate Generative Adversarial Network,"6,6,4",0.94,"4,4,5",https://openreview.net/forum?id=r14Aas09Y7,,,,
784,5.23,Coverage and Quality Driven Training of Generative Image Models,"5,4,7",1.25,"4,5,4",https://openreview.net/forum?id=rylxxhRctX,,,,
785,5.23,CAML: Fast Context Adaptation via Meta-Learning,"4,6,6,6",0.87,"5,4,2,2",https://openreview.net/forum?id=BylBfnRqFm,,,,
786,5.23,Neural Causal Discovery with Learnable Input Noise,"4,4,8",1.89,"5,4,4",https://openreview.net/forum?id=B14ejsA5YQ,,,,
787,5.23,Generalization and Regularization in DQN,"6,5,5",0.47,"3,5,5",https://openreview.net/forum?id=HkGmDsR9YQ,,,,
788,5.23,Improved Language Modeling by Decoding the Past,"6,7,3",1.7,"3,5,5",https://openreview.net/forum?id=SklckhR5Ym,,,,
789,5.23,Graph2Seq: Graph to Sequence Learning with Attention-Based Neural Networks,"6,6,4",0.94,"4,4,5",https://openreview.net/forum?id=SkeXehR9t7,,,,
790,5.22,Surprising Negative Results for Generative Adversarial Tree Search,"5,5,6",0.47,"3,4,2",https://openreview.net/forum?id=BJl4f2A5tQ,,,,
791,5.21,Deep Neuroevolution: Genetic Algorithms are a Competitive Alternative for Training Deep Neural Networks for Reinforcement Learning,"6,6,4,3,7",1.47,"4,2,4,4,5",https://openreview.net/forum?id=HyGh4sR9YQ,,,,
792,5.2,Stackelberg GAN: Towards Provable Minimax Equilibrium via Multi-Generator Architectures,"5,7,4",1.25,"3,3,4",https://openreview.net/forum?id=SJxCsj0qYX,,,,
793,5.2,Purchase as Reward : Session-based Recommendation by Imagination Reconstruction,"5,6,5",0.47,"3,2,5",https://openreview.net/forum?id=SkfTIj0cKX,,,,
794,5.2,Déjà Vu: An Empirical Evaluation of the Memorization Properties of Convnets,"4,5,6",0.82,"2,4,4",https://openreview.net/forum?id=B1lwSsC5KX,,,,
795,5.2,Volumetric Convolution: Automatic Representation Learning in Unit Ball,"6,5,5",0.47,"2,5,3",https://openreview.net/forum?id=SkfhIo0qtQ,,,,
796,5.2,Generative Adversarial Networks for Extreme Learned Image Compression,"6,6,4",0.94,"3,3,4",https://openreview.net/forum?id=HygtHnR5tQ,,,,
797,5.2,Provable Guarantees on Learning Hierarchical Generative Models with Deep CNNs,"6,6,4",0.94,"3,3,4",https://openreview.net/forum?id=HkxWrsC5FQ,,,,
798,5.2,Implicit Autoencoders,"2,7,6",2.16,"3,4,3",https://openreview.net/forum?id=HyMRaoAqKX,,,,
799,5.18,Adversarial Sampling for Active Learning,"6,5,5",0.47,"2,4,5",https://openreview.net/forum?id=r1GB5jA5tm,,,,
800,5.18,Sorting out Lipschitz function approximation,"7,5,4",1.25,"3,4,4",https://openreview.net/forum?id=ryxY73AcK7,,,,
801,5.18,Multi-task Learning with Gradient Communication,"5,4,7",1.25,"4,4,3",https://openreview.net/forum?id=B1e9W3AqFX,,,,
802,5.17,HyperGAN: Exploring the Manifold of Neural Networks,"6,5,4",0.82,"5,4,3",https://openreview.net/forum?id=B1GHJ3R9tQ,,,,
803,5.17,Adapting Auxiliary Losses Using Gradient Similarity,"4,6,6",0.94,"5,4,3",https://openreview.net/forum?id=r1gl7hC5Km,,,,
804,5.15,DiffraNet: Automatic Classification of Serial Crystallography Diffraction Patterns,"5,3,8",2.05,"4,5,4",https://openreview.net/forum?id=BkfxKj09Km,,,,
805,5.15,What a difference a pixel makes: An empirical examination of features used by CNNs for categorisation,"4,4,7",1.41,"4,4,5",https://openreview.net/forum?id=ByePUo05K7,,,,
806,5.15,An adaptive homeostatic algorithm for the unsupervised learning of visual features,"3,4,9",2.62,"5,4,4",https://openreview.net/forum?id=SyMras0cFQ,,,,
807,5.15,Learning From the Experience of Others: Approximate Empirical Bayes in Neural Networks,"6,3,7",1.7,"4,5,4",https://openreview.net/forum?id=r1E0OsA9tX,,,,
808,5.15,Generative Feature Matching Networks,"4,6,5,6",0.83,"4,3,3,3",https://openreview.net/forum?id=Syfz6sC9tQ,,,,
809,5.15,Heated-Up Softmax Embedding,"8,3,5",2.05,"4,5,4",https://openreview.net/forum?id=SkGpW3C5KX,,,,
810,5.15,A Variational Autoencoder for Probabilistic Non-Negative Matrix Factorisation,"4,4,7",1.41,"5,3,5",https://openreview.net/forum?id=BJGjOi09t7,,,,
811,5.15,Large-Scale Visual Speech Recognition,"4,3,9",2.62,"4,5,4",https://openreview.net/forum?id=HJxpDiC5tX,,,,
812,5.15,N-Ary Quantization for CNN Model Compression and Inference Acceleration,"4,4,7",1.41,"4,4,5",https://openreview.net/forum?id=HylDpoActX,,,,
813,5.14,Improved robustness to adversarial examples using Lipschitz regularization of the loss,"6,6,4",0.94,"1,3,3",https://openreview.net/forum?id=HkxAisC9FQ,,,,
814,5.12,Playing the Game of Universal Adversarial Perturbations,"6,5,5",0.47,"1,4,3",https://openreview.net/forum?id=ryeh4jA9F7,,,,
815,5.1,Transferring SLU Models in Novel Domains,"6,5,4",0.82,"4,3,3",https://openreview.net/forum?id=rkg5fh0ctQ,,,,
816,5.1,Learning Neuron Non-Linearities with Kernel-Based Deep Neural Networks,"5,4,6",0.82,"3,3,4",https://openreview.net/forum?id=BJlXUsR5KQ,,,,
817,5.1,Guided Evolutionary Strategies: Escaping the curse of dimensionality in random search,"5,4,6",0.82,"3,3,4",https://openreview.net/forum?id=B1xFxh0cKX,,,,
818,5.1,Invariant-equivariant representation learning for multi-class data,"7,5,4",1.25,"2,5,3",https://openreview.net/forum?id=B1e4wo09K7,,,,
819,5.1,Local Stability and Performance of Simple Gradient Penalty $\mu$-Wasserstein GAN,"5,4,6",0.82,"3,3,4",https://openreview.net/forum?id=H1ecDoR5Y7,,,,
820,5.09,AD-VAT: An Asymmetric Dueling mechanism for learning Visual Active Tracking,"5,4,6",0.82,"4,3,4",https://openreview.net/forum?id=HkgYmhR9KX,,,,
821,5.09,DecayNet: A Study on the Cell States of Long Short Term Memories,"8,4,4",1.89,"3,4,4",https://openreview.net/forum?id=BkgYIiAcFQ,,,,
822,5.09,Accelerated Value Iteration via Anderson Mixing,"7,4,4",1.41,"4,4,3",https://openreview.net/forum?id=SyxZOsA9tX,,,,
823,5.09,Globally Soft Filter Pruning For Efficient Convolutional Neural Networks,"6,5,4",0.82,"4,4,3",https://openreview.net/forum?id=H1fevoAcKX,,,,
824,5.09,Discrete flow posteriors for variational inference in discrete dynamical systems,"4,4,7",1.41,"3,4,4",https://openreview.net/forum?id=HyxOIoRqFQ,,,,
825,5.09,Simple Black-box Adversarial Attacks,"6,6,4",0.94,"3,3,5",https://openreview.net/forum?id=rJeZS3RcYm,,,,
826,5.09,Augment your batch: better training with larger batches,"4,8,4",1.89,"4,3,4",https://openreview.net/forum?id=H1V4QhAqYQ,,,,
827,5.09,Co-manifold learning with missing data,"4,4,7",1.41,"4,3,4",https://openreview.net/forum?id=Hklc6oAcFX,,,,
828,5.09,Cutting Down Training Memory by Re-fowarding,"6,4,4,6",1,"3,3,2,3",https://openreview.net/forum?id=BJMvBjC5YQ,,,,
829,5.09,Stop memorizing: A data-dependent regularization framework for intrinsic pattern learning,"7,4,4",1.41,"4,3,4",https://openreview.net/forum?id=B1GSBsRcFX,,,,
830,5.08,Context-adaptive Entropy Model for End-to-end Optimized Image Compression,"7,3,6",1.7,"4,5,3",https://openreview.net/forum?id=HyxKIiAqYQ,,,,
831,5.08,"Learning to Adapt in Dynamic, Real-World Environments through Meta-Reinforcement Learning","7,2,7",2.36,"3,5,5",https://openreview.net/forum?id=HyztsoC5Y7,,,,
832,5.08,Physiological Signal Embeddings (PHASE) via Interpretable Stacked Models,"6,5,4",0.82,"5,4,4",https://openreview.net/forum?id=SygInj05Fm,,,,
833,5.08,Unsupervised Multi-Target Domain Adaptation: An Information Theoretic Approach,"6,4,5",0.82,"5,4,4",https://openreview.net/forum?id=BJxLH2AcYX,,,,
834,5.08,An Automatic Operation Batching Strategy for the Backward Propagation of Neural Networks Having Dynamic Computation Graphs,"5,6,4",0.82,"3,5,4",https://openreview.net/forum?id=SkxXwo0qYm,,,,
835,5.08,FAVAE: SEQUENCE DISENTANGLEMENT USING IN- FORMATION BOTTLENECK PRINCIPLE,"5,6,4",0.82,"4,5,4",https://openreview.net/forum?id=Hygm8jC9FQ,,,,
836,5.08,TequilaGAN: How To Easily Identify GAN Samples,"4,6,5",0.82,"4,5,4",https://openreview.net/forum?id=Bkl2SjCcKQ,,,,
837,5.08,Quality Evaluation of GANs Using Cross Local Intrinsic Dimensionality,"4,6,5",0.82,"3,4,5",https://openreview.net/forum?id=BJgYl205tQ,,,,
838,5.07,Causal Reasoning from Meta-reinforcement learning,"5,4,4,7",1.22,"4,3,4,4",https://openreview.net/forum?id=H1ltQ3R9KQ,,,,
839,5.07,Improving Generative Adversarial Imitation Learning with Non-expert Demonstrations,"5,5,7,4",1.09,"3,4,3,5",https://openreview.net/forum?id=BJl65sA9tm,,,,
840,5,Convergence Properties of Deep Neural Networks on Separable Data,"5,5,5",0,"4,4,3",https://openreview.net/forum?id=HJfQrs0qt7,,,,
841,5,Directional Analysis of Stochastic Gradient Descent via von Mises-Fisher Distributions in Deep Learning,"6,5,4",0.82,"3,3,3",https://openreview.net/forum?id=rkeT8iR9Y7,,,,
842,5,TENSOR RING NETS ADAPTED DEEP MULTI-TASK LEARNING,"6,5,4",0.82,"4,4,4",https://openreview.net/forum?id=BJxmXhRcK7,,,,
843,5,Neural separation of observed and unobserved distributions,"5,4,6",0.82,"2,4,4",https://openreview.net/forum?id=SkelJnRqt7,,,,
844,5,RelWalk -- A Latent Variable Model Approach to Knowledge Graph Embedding,"6,5,4",0.82,"4,5,4",https://openreview.net/forum?id=SkxbDsR9Ym,,,,
845,5,Strength in Numbers: Trading-off Robustness and Computation via Adversarially-Trained Ensembles,"5,6,4",0.82,"4,3,3",https://openreview.net/forum?id=HJguLo0cKQ,,,,
846,5,Inferring Reward Functions from Demonstrators with Unknown Biases,"5,5,5",0,"4,3,4",https://openreview.net/forum?id=rkgqCiRqKQ,,,,
847,5,Quantization for Rapid Deployment of Deep Neural Networks,"5,5,5",0,"3,4,4",https://openreview.net/forum?id=HkzZBi0cFQ,,,,
848,5,On Accurate Evaluation of GANs for Language Generation,"5,3,7",1.63,"4,4,4",https://openreview.net/forum?id=rJMcdsA5FX,,,,
849,5,Excitation Dropout: Encouraging Plasticity in Deep Neural Networks,"5,5,5",0,"4,3,4",https://openreview.net/forum?id=H1xQSjCqFQ,,,,
850,5,Spread Divergences,"5,4,6",0.82,"4,4,4",https://openreview.net/forum?id=HJg3rjA5tQ,,,,
851,5,k-Nearest Neighbors by Means of Sequence to Sequence Deep Neural Networks and Memory Networks,"6,5,4",0.82,"4,4,4",https://openreview.net/forum?id=rJl4BsR5KX,,,,
852,5,RedSync : Reducing Synchronization Traffic for Distributed Deep Learning,"5,5,5",0,"3,4,4",https://openreview.net/forum?id=rkxJus0cFX,,,,
853,5,An Efficient and Margin-Approaching Zero-Confidence Adversarial Attack,"5,5,5",0,"3,4,5",https://openreview.net/forum?id=B1gHjoRqYQ,,,,
854,5,Dissecting an Adversarial framework for Information Retrieval,"6,5,4",0.82,"4,3,4",https://openreview.net/forum?id=Syez3j0cKX,,,,
855,5,VHEGAN: Variational Hetero-Encoder Randomized GAN for Zero-Shot Learning,"5,5,5",0,"4,5,5",https://openreview.net/forum?id=S1eX-nA5KX,,,,
856,5,Model Comparison for Semantic Grouping,"5,5,5",0,"3,3,1",https://openreview.net/forum?id=HJMghjA9YX,,,,
857,5,ON THE EFFECTIVENESS OF TASK GRANULARITY FOR TRANSFER LEARNING,"5,5,5",0,"4,4,4",https://openreview.net/forum?id=Hyxsl2AqKm,,,,
858,5,Robustness Certification with Refinement,"5,6,4",0.82,"4,3,3",https://openreview.net/forum?id=HJgeEh09KQ,,,,
859,5,Phrase-Based Attentions,"5,5,5",0,"4,5,5",https://openreview.net/forum?id=r1xN5oA5tm,,,,
860,5,Transferrable End-to-End Learning for Protein Interface Prediction,"5,5,5",0,"3,3,4",https://openreview.net/forum?id=SkgToo0qFm,,,,
861,5,INFORMATION MAXIMIZATION AUTO-ENCODING,"5,6,4",0.82,"5,4,4",https://openreview.net/forum?id=SyVpB2RqFX,,,,
862,5,ISA-VAE: Independent Subspace Analysis with Variational Autoencoders,"4,7,4",1.41,"3,4,5",https://openreview.net/forum?id=rJl_NhR9K7,,,,
863,5,Ada-Boundary: Accelerating the DNN Training via Adaptive Boundary Batch Selection,"5,5,5",0,"4,3,4",https://openreview.net/forum?id=SyfXKoRqFQ,,,,
864,5,Characterizing Malicious Edges targeting on Graph Neural Networks,"5,5,5",0,"5,3,3",https://openreview.net/forum?id=HJxdAoCcYX,,,,
865,5,Finding Mixed Nash Equilibria of Generative Adversarial Networks,"4,5,6",0.82,"4,5,4",https://openreview.net/forum?id=ryMQ5sRqYX,,,,
866,5,"S3TA: A Soft, Spatial, Sequential, Top-Down Attention Model","5,5,5",0,"4,4,4",https://openreview.net/forum?id=B1gJOoRcYQ,,,,
867,5,ChoiceNet: Robust Learning by Revealing Output Correlations,"4,6,5",0.82,"4,4,5",https://openreview.net/forum?id=S1MQ6jCcK7,,,,
868,5,Graph2Graph Networks for Multi-Label Classification,"4,6,5",0.82,"4,4,2",https://openreview.net/forum?id=r1xYr3C5t7,,,,
869,5,Discriminative out-of-distribution detection for semantic segmentation,"4,7,3",1.7,"4,5,3",https://openreview.net/forum?id=H1x1noAqKX,,,,
870,5,GRAPH TRANSFORMATION POLICY NETWORK FOR CHEMICAL REACTION PREDICTION,"5,5,5",0,"4,5,4",https://openreview.net/forum?id=r1f78iAcFm,,,,
871,5,A RECURRENT NEURAL CASCADE-BASED MODEL FOR CONTINUOUS-TIME DIFFUSION PROCESS,"7,4,4",1.41,"4,4,4",https://openreview.net/forum?id=SJNceh0cFX,,,,
872,5,Generative Adversarial Models for Learning Private and Fair Representations,"4,4,7",1.41,"3,3,3",https://openreview.net/forum?id=H1xAH2RqK7,,,,
873,5,Revisiting Reweighted Wake-Sleep,"5,5,5",0,"3,3,4",https://openreview.net/forum?id=BJzuKiC9KX,,,,
874,5,Learning Representations of Categorical Feature Combinations via Self-Attention,"5,5,5",0,"4,3,4",https://openreview.net/forum?id=SyxwW2A5Km,,,,
875,5,Shrinkage-based Bias-Variance Trade-off for Deep Reinforcement Learning,"4,4,7",1.41,"2,4,3",https://openreview.net/forum?id=S1z9ehAqYX,,,,
876,5,Learning to Progressively Plan,"5,5,5",0,"3,3,3",https://openreview.net/forum?id=BJgQB20qFQ,,,,
877,5,Learning Discriminators as Energy Networks in Adversarial Learning,"5,5,5",0,"5,4,4",https://openreview.net/forum?id=By40DoAqtX,,,,
878,5,On the Relationship between Neural Machine Translation and Word Alignment,"4,5,6",0.82,"4,4,4",https://openreview.net/forum?id=S1eEdj0cK7,,,,
879,5,Weakly-supervised Knowledge Graph Alignment with Adversarial Learning,"5,5,5",0,"3,4,3",https://openreview.net/forum?id=S14h9sCqYm,,,,
880,5,Spatial-Winograd Pruning Enabling Sparse Winograd Convolution,"5,4,6",0.82,"3,3,3",https://openreview.net/forum?id=SJzYdsAqY7,,,,
881,5,High Resolution and Fast Face Completion via Progressively Attentive GANs,"5,5,5",0,"5,2,5",https://openreview.net/forum?id=Hkxx3o0qFX,,,,
882,5,Bias Also Matters: Bias Attribution for Deep Neural Network Explanation,"5,5,5",0,"5,5,4",https://openreview.net/forum?id=B1xeyhCctQ,,,,
883,5,A theoretical framework for deep and locally connected ReLU network,"3,7,5",1.63,"4,4,3",https://openreview.net/forum?id=SyeKf30cFQ,,,,
884,5,Traditional and Heavy Tailed Self Regularization in Neural Network Models,"4,4,6",0.94,"4,1,5",https://openreview.net/forum?id=SJeFNoRcFQ,,,,
885,5,Consistent Jumpy Predictions for Videos and Scenes,"7,4,5",1.25,"2,4,4",https://openreview.net/forum?id=S1gQ5sRcFm,,,,
886,5,Learning Diverse Generations using Determinantal Point Processes,"5,5,5",0,"4,5,4",https://openreview.net/forum?id=S1x8WnA5Ym,,,,
887,5,Adversarial Audio Super-Resolution with Unsupervised Feature Losses,"4,5,6",0.82,"4,4,4",https://openreview.net/forum?id=H1eH4n09KX,,,,
888,5,Incremental Few-Shot Learning with Attention Attractor Networks,"5,5,5",0,"5,3,4",https://openreview.net/forum?id=rkxn7nR5KX,,,,
889,5,Convolutional Neural Networks combined with Runge-Kutta Methods,"4,5,6",0.82,"3,4,3",https://openreview.net/forum?id=HJNJws0cF7,,,,
890,5,Denoise while Aggregating: Collaborative Learning in Open-Domain Question Answering,"4,6,5",0.82,"4,4,4",https://openreview.net/forum?id=BkVVOi0cFX,,,,
891,5,Dense Morphological Network: An Universal Function Approximator,"5,5,5",0,"3,4,5",https://openreview.net/forum?id=SyxknjC9KQ,,,,
892,5,Riemannian TransE: Multi-relational Graph Embedding in Non-Euclidean Space,"5,5,5",0,"5,3,2",https://openreview.net/forum?id=r1xRW3A9YX,,,,
893,5,Accelerated Gradient Flow for Probability Distributions,"4,5,6",0.82,"4,3,4",https://openreview.net/forum?id=HkxCEhAqtQ,,,,
894,5,Learning Joint Wasserstein Auto-Encoders for Joint Distribution Matching,"6,5,4",0.82,"4,4,4",https://openreview.net/forum?id=HJe3TsR5K7,,,,
895,5,Hierarchical Reinforcement Learning via Advantage-Weighted Information Maximization,"5,3,7",1.63,"4,4,4",https://openreview.net/forum?id=Hyl_vjC5KQ,,,,
896,5,MLPrune: Multi-Layer Pruning for Automated Neural Network Compression,"5,6,4",0.82,"5,4,4",https://openreview.net/forum?id=r1g5b2RcKm,,,,
897,5,Learning to remember: Dynamic Generative Memory for Continual Learning,"4,3,8",2.16,"5,5,5",https://openreview.net/forum?id=H1lIzhC9FX,,,,
898,5,Backplay: 'Man muss immer umkehren',"5,5,5",0,"4,3,4",https://openreview.net/forum?id=H1xk8jAqKQ,,,,
899,5,Learning To Simulate,"4,5,6",0.82,"4,5,4",https://openreview.net/forum?id=HJgkx2Aqt7,,,,
900,5,Deep Recurrent Gaussian Process with Variational Sparse Spectrum Approximation,"5,5,5",0,"4,4,2",https://openreview.net/forum?id=BkgosiRcKm,,,,
901,5,Experience replay for continual learning,"5,5,5",0,"5,4,5",https://openreview.net/forum?id=S1g2V3Cct7,,,,
902,5,Inducing Cooperation via Learning to reshape rewards in semi-cooperative multi-agent reinforcement learning,"5,5,5",0,"3,4,4",https://openreview.net/forum?id=SyVhg20cK7,,,,
